name,ministry,category,state,benefit_summary,benefit_amount,application_url,official_portal,is_active,source_url,verified_at
National Means-cum-Merit Scholarship (NMMS),"Ministry of Education, Department of School Education & Literacy",Education,,"Scholarship of ₹12,000 per annum (₹1,000/month) for meritorious students from economically weaker sections studying in Classes 9-12","₹12,000 per annum",https://scholarships.gov.in,https://www.myscheme.gov.in/schemes/nmmss,true,https://www.myscheme.gov.in/schemes/nmmss,2026-09-14
Central Sector Scheme of Scholarship for College and University Students,"Department of Higher Education, Ministry of Education",Education,,"₹12,000/year for the first 3 years of UG courses and ₹20,000/year for the 4th/5th professional years and PG, for meritorious students from the top 20 percentile of Class 12 boards","₹12,000-₹20,000 per annum",https://scholarships.gov.in,https://www.education.gov.in/en/central-sector-scheme-scholarship-college-and-university-students,true,https://www.education.gov.in/en/central-sector-scheme-scholarship-college-and-university-students,2026-09-14
PM YASASVI Scholarship,Ministry of Social Justice and Empowerment,Education,,"Scholarship of up to ₹1,25,000 per annum for OBC/EBC/DNT students studying in Class 9 or Class 11 at government, government-aided, or private schools","Up to ₹1,25,000 per annum",https://www.myscheme.gov.in/schemes/pm-yasasvitcseobcebcdnts,https://www.myscheme.gov.in/schemes/pm-yasasvitcseobcebcdnts,true,https://www.myscheme.gov.in/schemes/pm-yasasvitcseobcebcdnts,2026-09-14
AICTE Pragati Scholarship for Girls,"All India Council for Technical Education (AICTE), Ministry of Education",Education,,"₹50,000 per annum for girl students admitted to the first year of diploma/degree technical courses at AICTE-approved institutions (up to two girls per family)","₹50,000 per annum (max 3 years degree / 2 years diploma lateral entry)",https://scholarships.gov.in,https://www.aicte-india.org/schemes/students-development-schemes/Pragati/General-Instructions,true,https://www.aicte-india.org/schemes/students-development-schemes/Pragati/General-Instructions,2026-09-14
AICTE Saksham Scholarship for Specially Abled Students,"All India Council for Technical Education (AICTE), Ministry of Education",Education,,"₹50,000 per annum for specially-abled students (minimum 40% disability) pursuing diploma/degree technical education at AICTE-approved institutions","₹50,000 per annum",https://scholarships.gov.in,https://www.aicte-india.org/schemes/students-development-schemes/Saksham/General-Instructions,true,https://www.aicte-india.org/schemes/students-development-schemes/Saksham/General-Instructions,2026-09-14
Top Class Education Scheme for SC Students,"Department of Social Justice and Empowerment, Ministry of Social Justice & Empowerment",Education,,"Full tuition fee reimbursement (ceiling ₹2 lakh/year in private institutions) plus academic allowance of ₹86,000 in the first year and ₹41,000 in subsequent years, for SC students admitted to notified premier institutions (IITs, IIMs, NITs, AIIMS, etc.)","Up to ₹2 lakh/year tuition + ₹86,000/₹41,000 academic allowance",https://scholarships.gov.in,https://socialjustice.gov.in/schemes/27,true,https://socialjustice.gov.in/schemes/27,2026-09-14
National Fellowship for OBC Students,Department of Social Justice and Empowerment,Education,,"Junior Research Fellowship for unemployed OBC candidates pursuing full-time M.Phil./Ph.D. programmes, approximately 1000 fellowships per year","Fellowship per UGC NET-JRF norms",https://scholarships.gov.in,https://www.myscheme.gov.in/schemes/nfos,true,https://socialjustice.gov.in/schemes/7,2026-09-14
Post-Matric Scholarship for Minorities,Ministry of Minority Affairs,Education,,"Scholarship for minority community (Muslim, Sikh, Christian, Buddhist, Parsi) students studying Class 11 onwards, covering admission/tuition fees and maintenance allowance","Course fee reimbursement + maintenance allowance",https://scholarships.gov.in,"https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=2&ls_id=163&lid=165",true,"https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=2&ls_id=163&lid=165",2026-09-14
PM Vishwakarma Yojana,Ministry of Micro Small and Medium Enterprises,Employment,,"₹15,000 toolkit grant, skill training with ₹500/day stipend, and collateral-free loans up to ₹3 lakh at 5% concessional interest for traditional artisans and craftspeople across 18 trades","₹15,000 toolkit grant + up to ₹3 lakh collateral-free loan",https://pmvishwakarma.gov.in,https://pmvishwakarma.gov.in,true,https://pmvishwakarma.gov.in,2026-09-14
Deendayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM),Ministry of Housing and Urban Affairs,Employment,,"Interest-subsidised loans up to ₹2 lakh (individual) or ₹10 lakh (group/SHG) for urban poor to set up micro-enterprises, plus skill training, placement support, and shelter for the urban homeless","Loan up to ₹2 lakh (individual) / ₹10 lakh (group) with interest subvention",https://mohua.gov.in,https://mohua.gov.in,true,https://mohua.gov.in,2026-09-14
