"name","ministry","category","state","benefit_summary","benefit_amount","application_url","official_portal","is_active","source_url","verified_at"
"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","Ministry of Agriculture and Farmers Welfare","Agriculture","","Income support to landholding farmer families","₹6,000 per year in three equal installments of ₹2,000","https://pmkisan.gov.in/","https://pmkisan.gov.in/","true","https://pmkisan.gov.in/","2026-09-14"
"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY)","Ministry of Health and Family Welfare / National Health Authority","Healthcare","","Cashless health insurance cover for poor and vulnerable families for secondary and tertiary care","Up to ₹5,00,000 per family per year (cashless)","https://mera.pmjay.gov.in/","https://nha.gov.in/PM-JAY","true","https://www.nha.gov.in/PM-JAY","2026-09-14"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","Ministry of Housing and Urban Affairs","Housing","","Central assistance for pucca house construction/purchase for urban poor and middle-income households","Interest subsidy / central assistance; EWS houses up to 30 sq.mt. carpet area","https://pmay-urban.gov.in/","https://pmay-urban.gov.in/","true","https://pmay-urban.gov.in/","2026-09-14"
"Post-Matric Scholarship for SC Students","Ministry of Social Justice and Empowerment","Education","","Financial assistance (maintenance allowance + fee reimbursement) for SC students studying Class 11 and above","Maintenance allowance and course fee reimbursement (amount varies by course/state)","https://scholarships.gov.in/","https://scholarships.gov.in/","true","https://scholarships.gov.in/public/schemeGuidelines/DEPDFAQ.pdf","2026-09-14"
"Pre-Matric Scholarship for Minorities","Ministry of Minority Affairs","Education","","Financial assistance for minority community students studying in Classes 1 to 10","Scholarship amount varies (day scholar/hosteller rates)","https://scholarships.gov.in/","https://scholarships.gov.in/","true","https://www.buddy4study.com/article/pre-matric-scholarship-for-minorities","2026-09-14"
"Prime Minister's Employment Generation Programme (PMEGP)","Ministry of Micro, Small and Medium Enterprises","Employment","","Credit-linked subsidy for setting up new micro-enterprises to generate self-employment","Subsidy of 15%-35% of project cost (up to ₹50 lakh manufacturing / ₹20 lakh service)","https://www.kviconline.gov.in/pmegpeportal/pmegphome/index.jsp","https://www.kviconline.gov.in/pmegpeportal/pmegphome/index.jsp","true","https://www.cashfree.com/blog/pmegp-scheme-subsidy-rates-eligibility-how-to-apply/","2026-09-14"
"Sukanya Samriddhi Yojana","Ministry of Finance / Department of Posts","Financial Aid","","Small savings scheme for the welfare of a girl child, opened by parent/guardian","8.2% interest (Q2 FY2026-27); deposits ₹250 to ₹1.5 lakh/year; matures 21 years from opening","https://www.nsiindia.gov.in/","https://www.nsiindia.gov.in/","true","https://cleartax.in/s/sukanya-samriddhi-yojana","2026-09-14"
"Atal Pension Yojana","Ministry of Finance / PFRDA","Financial Aid","","Guaranteed minimum pension scheme for unorganised sector workers","Guaranteed monthly pension of ₹1,000 to ₹5,000 after age 60","https://npscra.nsdl.co.in/scheme-details.php","https://npscra.nsdl.co.in/scheme-details.php","true","https://cleartax.in/s/atal-pension-yojna","2026-09-14"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","Ministry of Petroleum and Natural Gas","Financial Aid","","Free LPG gas connection with first refill and stove to women from poor households","Free LPG connection + free first refill + free stove + subsidy on next 12 refills","https://www.pmuy.gov.in/","https://www.pmuy.gov.in/","true","https://mylpg.org/ujwala-yojna/pm-ujjwala-yojana-2026/","2026-09-14"
"Stand-Up India","Department of Financial Services, Ministry of Finance","Employment","","Bank loans for greenfield enterprises set up by SC/ST and women entrepreneurs","Loan amount between ₹10 lakh and ₹1 crore","https://www.standupmitra.in/","https://www.standupmitra.in/","true","https://www.standupmitra.in/Home/SUISchemes","2026-09-14"
