scheme_name,attribute_name,operator,value,rule_description,source_text_snippet
National Pension System,age,>=,18,Applicant must be at least 18 years old,"Any Citizen aged between 18-70 is eligible"
National Pension System,age,<=,70,Applicant must be at most 70 years old,"Any Citizen aged between 18-70 is eligible"
Pradhan Mantri Garib Kalyan Anna Yojana,is_bpl,=,TRUE,Beneficiary must hold an Antyodaya Anna Yojana (AAY) or Priority Household (PHH) ration card under NFSA,"Families belonging to the Below Poverty Line – Antyodaya Anna Yojana (AAY) and Priority Households (PHH) categories are eligible for the scheme"
One Nation One Ration Card,is_bpl,=,TRUE,Beneficiary must be an NFSA ration card holder (AAY/PHH),"All NFSA Beneficiaries (Migrant Labors, tribals, etc.)"
Ramai Awas Yojana,category,IN,SC,Beneficiary must belong to the Scheduled Caste or Neo-Buddhist community,"The beneficiary should belong to the Scheduled Caste and Neo-Buddhist category"
Ramai Awas Yojana,state,=,Maharashtra,Beneficiary must have resided in Maharashtra for at least 15 years,"must have resided in Maharashtra for at least 15 years"
Ramai Awas Yojana,annual_income,<=,120000,Annual family income must not exceed Rs 1.20 lakh (rural criterion; urban ceiling is Rs 3 lakh),"Annual family income: ₹1.20 lakh (rural) or ₹3.00 lakh (urban)"
Sanjay Gandhi Niradhar Anudan Yojana,age,>=,18,Beneficiary must be at least 18 years old,"destitute men and women aged 18 to 65 years"
Sanjay Gandhi Niradhar Anudan Yojana,age,<=,65,Beneficiary must be at most 65 years old,"destitute men and women aged 18 to 65 years"
Sanjay Gandhi Niradhar Anudan Yojana,state,=,Maharashtra,Beneficiary must be a resident of Maharashtra,"Applicant can apply at the District Collector's Office / Tehsildar's Office ... Maharashtra"
Sanjay Gandhi Niradhar Anudan Yojana,annual_income,<=,21000,"Family annual income must not exceed Rs 21,000 (or be on the BPL list)","the beneficiary's name must be on the Below Poverty Line (BPL) list or the family's annual income must be up to ₹21,000"
Manodhairya Yojana,state,=,Maharashtra,Scheme applies to victims within the state of Maharashtra,"launched by the WCD department of Maharashtra Government"
Lek Ladki Yojana,gender,=,FEMALE,Scheme benefits a girl child (daughter) only,"one or two daughters born on or after April 1, 2023"
Lek Ladki Yojana,state,=,Maharashtra,Beneficiary's family must be permanent residents of Maharashtra,"The beneficiary's family must be permanent residents of Maharashtra"
Lek Ladki Yojana,annual_income,<=,100000,Annual family income must not exceed Rs 1 lakh,"Annual family income must not exceed ₹1,00,000"
Namo Shetkari Mahasanman Nidhi Yojana,state,=,Maharashtra,Applicant must be a resident farmer of Maharashtra,"Applicants must be a resident of Maharashtra"
Namo Shetkari Mahasanman Nidhi Yojana,occupation,=,Farmer,Applicant must be a cultivable-landholding farmer registered under PM-KISAN,"Cultivable land holding farmers families ... eligible for both PM KISAN & NSMNY scheme"
