"scheme_name","document_name","document_category","is_mandatory"
"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","Aadhaar Card","ID Proof","true"
"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","Land Ownership Records (Khatauni/7-12 extract)","Other","true"
"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","Bank Account Passbook (Aadhaar-linked)","Bank Details","true"
"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY)","Aadhaar Card","ID Proof","true"
"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY)","Ration Card","Other","true"
"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY)","SECC/PM-JAY Eligibility Family ID","Other","true"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","Aadhaar Card","ID Proof","true"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","Income Certificate","Income Proof","true"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","Address Proof","Address Proof","true"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","Bank Account Passbook","Bank Details","true"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","Passport-size Photograph","Photograph","true"
"Post-Matric Scholarship for SC Students","Aadhaar Card","ID Proof","true"
"Post-Matric Scholarship for SC Students","Caste Certificate","Other","true"
"Post-Matric Scholarship for SC Students","Income Certificate","Income Proof","true"
"Post-Matric Scholarship for SC Students","Bonafide/Enrolment Certificate from Institution","Educational Certificate","true"
"Post-Matric Scholarship for SC Students","Previous Year Marksheet","Educational Certificate","true"
"Post-Matric Scholarship for SC Students","Bank Passbook (Aadhaar-seeded)","Bank Details","true"
"Pre-Matric Scholarship for Minorities","Aadhaar Card","ID Proof","true"
"Pre-Matric Scholarship for Minorities","Minority Community Certificate","Other","true"
"Pre-Matric Scholarship for Minorities","Income Certificate","Income Proof","true"
"Pre-Matric Scholarship for Minorities","School Bonafide Certificate","Educational Certificate","true"
"Pre-Matric Scholarship for Minorities","Bank Passbook (Aadhaar-seeded)","Bank Details","true"
"Prime Minister's Employment Generation Programme (PMEGP)","Aadhaar Card","ID Proof","true"
"Prime Minister's Employment Generation Programme (PMEGP)","Detailed Project Report","Other","true"
"Prime Minister's Employment Generation Programme (PMEGP)","Educational Qualification Certificate","Educational Certificate","false"
"Prime Minister's Employment Generation Programme (PMEGP)","Caste/Category Certificate","Other","false"
"Prime Minister's Employment Generation Programme (PMEGP)","Bank Account Passbook","Bank Details","true"
"Prime Minister's Employment Generation Programme (PMEGP)","Passport-size Photograph","Photograph","true"
"Sukanya Samriddhi Yojana","Birth Certificate of Girl Child","ID Proof","true"
"Sukanya Samriddhi Yojana","Guardian's Aadhaar Card","ID Proof","true"
"Sukanya Samriddhi Yojana","Address Proof of Guardian","Address Proof","true"
"Sukanya Samriddhi Yojana","Passport-size Photograph","Photograph","true"
"Atal Pension Yojana","Aadhaar Card","ID Proof","true"
"Atal Pension Yojana","Bank/Post Office Savings Account Passbook","Bank Details","true"
"Atal Pension Yojana","Mobile Number (linked to bank account)","Other","true"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","Aadhaar Card","ID Proof","true"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","BPL Certificate / Ration Card","Income Proof","true"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","Bank Account Passbook","Bank Details","true"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","Passport-size Photograph","Photograph","true"
"Stand-Up India","Aadhaar Card","ID Proof","true"
"Stand-Up India","Caste Certificate (for SC/ST applicants)","Other","false"
"Stand-Up India","Business/Project Report","Other","true"
"Stand-Up India","Address Proof","Address Proof","true"
"Stand-Up India","Bank Statement","Bank Details","true"
"Pradhan Mantri MUDRA Yojana (PMMY)","Aadhaar Card","ID Proof","true"
"Pradhan Mantri MUDRA Yojana (PMMY)","Business Proof/Project Report","Other","true"
"Pradhan Mantri MUDRA Yojana (PMMY)","Bank Statement","Bank Details","true"
"Pradhan Mantri MUDRA Yojana (PMMY)","Passport-size Photograph","Photograph","true"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","Aadhaar Card","ID Proof","true"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","Mother and Child Protection (MCP) Card","Other","true"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","Bank Account Passbook","Bank Details","true"
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Aadhaar Card","ID Proof","true"
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Land Ownership/Tenancy Records","Other","true"
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Bank Account Passbook","Bank Details","true"
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","Sowing Certificate","Other","true"
"e-Shram Registration","Aadhaar Card (with linked mobile number)","ID Proof","true"
"e-Shram Registration","Bank Account Details","Bank Details","true"
"PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi)","Aadhaar Card","ID Proof","true"
"PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi)","Certificate of Vending / Letter of Recommendation","Other","true"
"PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi)","Bank Account Passbook","Bank Details","true"
