"scheme_name","attribute_name","operator","value","rule_description","source_text_snippet"
"Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)","occupation","=","Farmer","Applicant must be a landholding farmer engaged in agriculture","farmers enrolling in the scheme should have their own farmland and must be engaged in agriculture"
"Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (PM-JAY)","is_bpl","=","TRUE","Household must be identified as deprived/vulnerable per SECC 2011 census (broadly BPL-equivalent), not based on income tax returns","Eligibility is based on the Socio-Economic Caste Census (SECC) 2011 data... families living in kutcha houses with only one room... are eligible"
"Pradhan Mantri Awas Yojana - Urban (PMAY-U 2.0)","annual_income","<=","900000","Household annual income must not exceed ₹9 lakh (covers EWS up to ₹3 lakh, LIG up to ₹6 lakh, MIG up to ₹9 lakh) under PMAY-U 2.0","EWS: Up to ₹3 lakh; LIG: Up to ₹6 lakh; MIG: Up to ₹9 lakh"
"Post-Matric Scholarship for SC Students","category","=","SC","Applicant must belong to the Scheduled Caste community","Post Matric Scholarship covers... students from SC... categories"
"Post-Matric Scholarship for SC Students","annual_income","<=","250000","Family income must not exceed ₹2.5 lakh per year","The family income limit is INR 2.5 lakh per year in all four schemes for most Post-Matric scholarships"
"Post-Matric Scholarship for SC Students","education_level","=","Post-Matric","Student must be studying in Class 11 or above (post-matriculation)","Students who have passed Class 10 and are studying in Class 11 or Class 12 can apply for Post-Matric scholarships"
"Pre-Matric Scholarship for Minorities","is_minority","=","TRUE","Applicant must belong to a notified minority community (Muslim, Sikh, Christian, Buddhist, Parsi, Jain)","Applicants must belong to a minority community as notified by the Government of India"
"Pre-Matric Scholarship for Minorities","annual_income","<=","100000","Family income must not exceed ₹1 lakh per year","The annual family income of the candidate's parents/guardian should not exceed INR 1 lakh"
"Pre-Matric Scholarship for Minorities","education_level","=","Class 1-10","Student must be studying in Class 1 to Class 10","Candidates must be studying in class 1 to 10 in a government or private school"
"Prime Minister's Employment Generation Programme (PMEGP)","age",">=","18","Applicant must be at least 18 years old; no maximum age limit","Applicants should be minimum 18 years of age and there is no maximum age limit"
"Sukanya Samriddhi Yojana","gender","=","FEMALE","Account can only be opened in the name of a girl child","for the welfare of a girl child"
"Sukanya Samriddhi Yojana","age","<=","10","Account must be opened for the girl child between birth and 10 years of age","account can be opened any time from the birth of the girl child until she attains 10 years of age"
"Atal Pension Yojana","age",">=","18","Subscriber must be at least 18 years old to join","Any Indian citizen between 18 and 40 years of age with a savings account can join"
"Atal Pension Yojana","age","<=","40","Subscriber must not be older than 40 years to join","Any Indian citizen between 18 and 40 years of age with a savings account can join"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","gender","=","FEMALE","LPG connection is provided in the name of an adult woman of the household","adult woman belonging to a poor household... is eligible"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","age",">=","18","Applicant woman must have attained 18 years of age","the applicant must be an adult woman who has attained 18 years of age"
"Pradhan Mantri Ujjwala Yojana (PMUY 2.0)","is_bpl","=","TRUE","Household must belong to BPL/SECC-listed poor household categories","adult women aged 18+ from BPL households... belong to SECC 2011 list or eligible categories"
"Stand-Up India","age",">=","18","Applicant must be above 18 years of age","Applicants must be SC/ST and/or woman entrepreneur, above 18 years of age"
"Stand-Up India","category","IN","SC,ST","Scheme targets SC/ST entrepreneurs (women entrepreneurs of any category are separately eligible; see scheme description)","Applicants must be SC/ST and/or woman entrepreneurs"
"Pradhan Mantri MUDRA Yojana (PMMY)","age",">=","18","Borrower must be at least 18 years old","Eligible borrowers include Indian citizens aged 18-65 engaged in non-farm income-generating activities"
"Pradhan Mantri MUDRA Yojana (PMMY)","age","<=","65","Borrower must not be older than 65 years","Eligible borrowers include Indian citizens aged 18-65 engaged in non-farm income-generating activities"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","gender","=","FEMALE","Benefit is for pregnant women and lactating mothers","All pregnant women and lactating mothers... can get the scheme benefit"
"Pradhan Mantri Matru Vandana Yojana (PMMVY)","age",">=","19","Pregnant woman must be at least 19 years of age","The pregnant woman must be at least 19 years of age or older"
"Pradhan Mantri Fasal Bima Yojana (PMFBY)","occupation","=","Farmer","Applicant must be a farmer/cultivator or sharecropper growing notified crops","Eligible farmers include landowners, tenants, and sharecroppers growing notified crops"
"e-Shram Registration","age",">=","16","Worker must be at least 16 years old","Age must be between 16 and 59 years"
"e-Shram Registration","age","<=","59","Worker must not be older than 59 years","Age must be between 16 and 59 years"
"e-Shram Registration","occupation","=","Unorganised Sector Worker","Applicant must be an unorganised sector worker not covered by EPFO/ESIC/NPS (govt.)","any worker who is unorganised... home-based worker, self-employed worker, or wage worker in the unorganised sector"
"PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi)","occupation","=","Street Vendor","Applicant must be an urban street vendor","Urban street vendors will be eligible to avail a Working Capital (WC) loan"
"National Means-cum-Merit Scholarship (NMMS)","annual_income","<=","350000","Parental income from all sources must not exceed ₹3.5 lakh per year","Students whose parental income from all sources is not more than Rs. 3,50,000/- per annum are eligible"
"National Means-cum-Merit Scholarship (NMMS)","education_level","=","Class 9","Student must be entering/studying in Class 9 in a Government, Government-aided or local body school","The test is conducted at stage of class-VIII... Students should be studying as regular student in Class 9"
"Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY)","state","=","Maharashtra","Scheme is applicable to residents of Maharashtra","Maharashtra government health insurance scheme"
"Mahatma Jyotiba Phule Jan Arogya Yojana (MJPJAY)","annual_income","<=","100000","Individual applicant's annual family income must be less than ₹1 lakh","Individual applicants must have an annual income of less than Rs.1 lakh"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","state","=","Maharashtra","Applicant must be a domicile of Maharashtra State","be domicile of Maharashtra State"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","annual_income","<=","800000","Family annual income must not exceed ₹8 lakh","the students family annual income limit is up to Rs. 8.00 lakh"
"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojana (EBC Scholarship)","category","IN","General,EWS","Only General (OPEN) and EWS category students are eligible; OBC/SC/ST/NT are covered under other scholarship schemes","only the general category (OPEN or EWS) applicant is allowed, whereas other categories such as OBC, ST, SC, & NT are not eligible"
"Ramai Awas Yojana","state","=","Maharashtra","Beneficiary must have resided in Maharashtra for at least 15 years","the beneficiary must have resided in Maharashtra for at least 15 years"
"Ramai Awas Yojana","category","=","SC","Beneficiary must belong to Scheduled Caste / Neo-Buddhist community","the beneficiary must belong to the Scheduled Castes / Neo-Buddhist category"
"Ramai Awas Yojana","annual_income","<=","300000","Family annual income must not exceed ₹3 lakh (urban ceiling; rural ceiling is lower at ₹1.2 lakh - see description)","annual income limit... up to ₹1.20 lakh for rural areas and up to ₹3.00 lakh for urban areas"
